StartDate,TimeSign,CurrencyCode,CurrencyCodeL,Units,Amount
10.01.2021,0000,936,GHS,1,4.8198
10.01.2021,0000,784,AED,1,7.698
10.01.2021,0000,704,VND,1000,1.2244
10.01.2021,0000,368,IQD,100,1.9366
10.01.2021,0000,364,IRR,10000,6.732
10.01.2021,0000,981,GEL,1,8.6366
10.01.2021,0000,422,LBP,100,1.8756
10.01.2021,0000,434,LYD,1,21.1383
10.01.2021,0000,458,MYR,1,7.0047
10.01.2021,0000,504,MAD,1,3.1763
10.01.2021,0000,901,TWD,10,10.06
10.01.2021,0000,941,RSD,10,2.9536
10.01.2021,0000,417,KGS,10,3.421
10.01.2021,0000,972,TJS,1,2.5022
10.01.2021,0000,050,BDT,10,3.3343
10.01.2021,0000,788,TND,1,10.5192
10.01.2021,0000,934,TMT,1,8.0785
10.01.2021,0000,860,UZS,1000,2.6988
10.01.2021,0000,959,XAU,1,55324.39
